	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Protein Family ID(s)	Associated Gene Name
3232	ENSG00000213626	2	30454397	30546596	ENSFM00670001236640	LBH
3233	ENSG00000243509	20	62328021	62330037	ENSFM00500000276120	TNFRSF6B
3234	ENSG00000006530	7	141250989	141355044	ENSFM00250000006088	AGK
3235	ENSG00000164508	6	25726291	25726790	ENSFM00670001235241	HIST1H2AA
3236	ENSG00000141380	18	23596578	23671181	ENSFM00600000921279	SS18
3237	ENSG00000146047	6	25727137	25727573	ENSFM00500000269608	HIST1H2BA
3238	ENSG00000132341	12	131356424	131362223	ENSFM00250000002338	RAN
3239	ENSG00000079393	10	76854192	76868979	ENSFM00670001235683	DUSP13
3240	ENSG00000271321	7	143452182	143454789	ENSFM00250000002588	CTAGE6
3241	ENSG00000090661	19	8271620	8327305	ENSFM00730001521585	CERS4
3242	ENSG00000184344	12	7842378	7848372	ENSFM00500000271194	GDF3
3243	ENSG00000109819	4	23756664	23905712	ENSFM00250000006958	PPARGC1A
3244	ENSG00000100280	22	29723669	29819168	ENSFM00430000230089	AP1B1
3245	ENSG00000173744	2	228336868	228425930	ENSFM00650001140030	AGFG1
3246	ENSG00000146039	6	25754927	25781419	ENSFM00750001632411	SLC17A4
3247	ENSG00000134812	11	59596741	59612974	ENSFM00750001632377	GIF
3248	ENSG00000183103	19	42341148	42348760	ENSFM00250000008743	LYPD4
3249	ENSG00000198420	7	143548468	143599291	ENSFM00250000002714	FAM115A
3250	ENSG00000043093	3	182655862	182703741	ENSFM00500000270356	DCUN1D1
3251	ENSG00000101246	20	62329996	62339377	ENSFM00480000262814	ARFRP1
3252	ENSG00000117834	1	48688357	48714316	ENSFM00250000000584	SLC5A9
3253	ENSG00000134982	5	112043195	112181936	ENSFM00250000001676	APC
3254	ENSG00000133065	1	205758221	205782876	ENSFM00250000001027	SLC41A1
3255	ENSG00000120438	6	160199530	160210781	ENSFM00500000270058	TCP1
3256	ENSG00000206256	HSCHR6_MHC_COX	32069682	32082453	ENSFM00250000003287	PPT2
3257	ENSG00000071967	2	172378757	172414643	ENSFM00670001235694	CYBRD1
3258	ENSG00000188976	1	879584	894689	ENSFM00250000004529	NOC2L
3259	ENSG00000156453	5	141232938	141258811	ENSFM00250000000558	PCDH1
3260	ENSG00000151012	4	139085251	139163503	ENSFM00250000000331	SLC7A11
3261	ENSG00000188100	10	88780063	88784487	ENSFM00670001239405	FAM25A
3262	ENSG00000177679	7	75831216	75916605	ENSFM00500000276942	SRRM3
3263	ENSG00000178105	11	108535752	108811657	ENSFM00730001521664	DDX10
3264	ENSG00000147082	X	49967364	50094909	ENSFM00500000270870	CCNB3
3265	ENSG00000104325	8	91013633	91064320	ENSFM00500000271494	DECR1
3266	ENSG00000166886	12	57482677	57489259	ENSFM00250000002476	NAB2
3267	ENSG00000159216	21	36160098	37376965	ENSFM00250000000641	RUNX1
3268	ENSG00000073536	17	33455772	33469334	ENSFM00710001441890	NLE1
3269	ENSG00000162415	1	45482071	45771881	ENSFM00250000002098	ZSWIM5
3270	ENSG00000070371	22	19166986	19279239	ENSFM00250000001393	CLTCL1
3271	ENSG00000167656	8	143866296	143868008	ENSFM00670001240526	LY6D
3272	ENSG00000142025	19	42348806	42356401	ENSFM00360000110072	DMRTC2
3273	ENSG00000134827	11	59620273	59634048	ENSFM00750001632377	TCN1
3274	ENSG00000083642	13	33160564	33352157	ENSFM00250000001602	PDS5B
3275	ENSG00000226898	HSCHR6_MHC_APD	29523504	29527818	ENSFM00500000276693	UBD
3276	ENSG00000103769	15	66018392	66184329	ENSFM00500000269744	RAB11A
3277	ENSG00000124571	6	43490072	43543812	ENSFM00250000002685	XPO5
3278	ENSG00000104499	8	143915663	143997922	ENSFM00670001237781	GML
3279	ENSG00000177542	11	790475	798316	ENSFM00500000270170	SLC25A22
3280	ENSG00000185722	17	4067201	4167274	ENSFM00310000089031	ANKFY1
3281	ENSG00000173153	11	64073044	64084215	ENSFM00440000236877	ESRRA
3282	ENSG00000164707	7	135365985	135414006	ENSFM00250000000477	SLC13A4
3283	ENSG00000093183	3	42589461	42642572	ENSFM00670001235664	SEC22C
3284	ENSG00000224319	HSCHR6_MHC_APD	29555796	29556858	ENSFM00430000230074	OR2H2
3285	ENSG00000113520	5	132009678	132018368	ENSFM00500000273080	IL4
3286	ENSG00000006534	11	67776048	67796744	ENSFM00250000000672	ALDH3B1
3287	ENSG00000139644	12	50101508	50158717	ENSFM00250000004523	TMBIM6
3288	ENSG00000171159	9	130922539	130926207	ENSFM00670001237580	C9orf16
3289	ENSG00000128849	15	57668165	57842925	ENSFM00740001589340	CGNL1
3290	ENSG00000256062	HG79_PATCH	136125799	136150736	ENSFM00250000000429	ABO
3291	ENSG00000148672	10	88810243	88854623	ENSFM00250000001520	GLUD1
3292	ENSG00000257727	12	56703626	56710120	ENSFM00500000272939	CNPY2
3293	ENSG00000160882	8	143953772	143961262	ENSFM00720001492039	CYP11B1
3294	ENSG00000186603	1	45792545	45794347	ENSFM00420000140705	HPDL
3295	ENSG00000129116	4	169418217	169849608	ENSFM00740001589210	PALLD
3296	ENSG00000167775	19	8367011	8373240	ENSFM00580000902250	CD320
3297	ENSG00000152705	5	134303596	134347392	ENSFM00250000010025	CATSPER3
3298	ENSG00000172954	2	30670092	30867091	ENSFM00500000270992	LCLAT1
3299	ENSG00000141096	16	68009566	68014732	ENSFM00250000001170	DPEP3
3300	ENSG00000143374	1	150459887	150480078	ENSFM00250000001453	TARS2
3301	ENSG00000169239	X	15706953	15805747	ENSFM00450000242133	CA5B
3302	ENSG00000162877	1	205797150	205819260	ENSFM00500000271359	PM20D1
3303	ENSG00000167536	17	27224799	27230089	ENSFM00500000269664	DHRS13
3304	ENSG00000173068	9	16409501	16870841	ENSFM00670001235629	BNC2
3305	ENSG00000170298	17	20352708	20370852	ENSFM00740001589285	LGALS9B
3306	ENSG00000129991	19	55663137	55669141	ENSFM00670001235399	TNNI3
3307	ENSG00000214013	15	42565431	42645864	ENSFM00480000262753	GANC
3308	ENSG00000198178	12	7882011	7904201	ENSFM00500000271140	CLEC4C
3309	ENSG00000197405	19	47793280	47825323	ENSFM00670001235886	C5AR1
3310	ENSG00000119922	10	91061712	91069033	ENSFM00250000002441	IFIT2
3311	ENSG00000258881	2	71166448	71222466	ENSFM00500000272253	AC007040.11
3312	ENSG00000148985	11	3818954	3847601	ENSFM00670001235981	PGAP2
3313	ENSG00000134830	19	47835404	47846606	ENSFM00670001235886	C5AR2
3314	ENSG00000179941	12	76738254	76742222	ENSFM00250000008641	BBS10
3315	ENSG00000165782	14	20925878	20929771	ENSFM00250000004019	TMEM55B
3316	ENSG00000197114	20	62338817	62367494	ENSFM00250000006326	ZGPAT
3317	ENSG00000154620	Y	15815447	15817904	ENSFM00500000372337	TMSB4Y
3318	ENSG00000003989	8	17354597	17428082	ENSFM00250000000444	SLC7A2
3319	ENSG00000118513	6	135502453	135540311	ENSFM00250000000873	MYB
3320	ENSG00000144031	2	71205510	71212626	ENSFM00260000051454	ANKRD53
3321	ENSG00000187961	1	895967	901095	ENSFM00740001589072	KLHL17
3322	ENSG00000105372	19	42363988	42376994	ENSFM00670001235598	RPS19
3323	ENSG00000169249	X	15808595	15841383	ENSFM00500000271511	ZRSR2
3324	ENSG00000261306	HG79_PATCH	136206251	136211933	ENSFM00600000921586	SURF6
3325	ENSG00000124635	6	27093676	27100541	ENSFM00500000269608	HIST1H2BJ
3326	ENSG00000099256	10	25137536	25241533	ENSFM00250000001478	PRTFDC1
3327	ENSG00000198915	10	43689983	43762367	ENSFM00250000001384	RASGEF1A
3328	ENSG00000134815	19	47852538	47885961	ENSFM00730001522353	DHX34
3329	ENSG00000234096	HSCHR6_MHC_APD	29624887	29640277	ENSFM00380000124712	MOG
3330	ENSG00000232119	X	119727865	119754929	ENSFM00500000271084	MCTS1
3331	ENSG00000007968	1	23832922	23857712	ENSFM00500000270064	E2F2
3332	ENSG00000180537	6	13924677	13980533	ENSFM00250000006934	RNF182
3333	ENSG00000112110	6	160210844	160219468	ENSFM00500000273894	MRPL18
3334	ENSG00000213722	6	31694815	31698394	ENSFM00250000003817	DDAH2
3335	ENSG00000164187	5	36098514	36152063	ENSFM00250000005238	LMBRD2
3336	ENSG00000103253	16	776936	785525	ENSFM00730001521820	HAGHL
3337	ENSG00000196787	6	27100832	27103070	ENSFM00670001235241	HIST1H2AG
3338	ENSG00000001561	6	46097730	46114436	ENSFM00730001521747	ENPP4
3339	ENSG00000205857	12	7917812	7926717	ENSFM00500000296579	NANOGNB
3340	ENSG00000103502	16	29869678	29875057	ENSFM00500000271211	CDIPT
3341	ENSG00000197728	12	56435637	56438116	ENSFM00670001235586	RPS26
3342	ENSG00000179142	8	143991975	143999259	ENSFM00720001492039	CYP11B2
3343	ENSG00000137203	6	10393419	10419892	ENSFM00250000001076	TFAP2A
3344	ENSG00000128250	22	29834572	29838444	ENSFM00500000271691	RFPL1
3345	ENSG00000182287	X	15843929	15873054	ENSFM00500000269841	AP1S2
3346	ENSG00000117318	1	23884409	23886285	ENSFM00500000274277	ID3
3347	ENSG00000197903	6	27106073	27114619	ENSFM00500000269608	HIST1H2BK
3348	ENSG00000106211	7	75931861	75933612	ENSFM00500000270924	HSPB1
3349	ENSG00000173113	11	64083932	64085556	ENSFM00500000274587	TRMT112
3350	ENSG00000151014	4	139936943	139966906	ENSFM00250000004355	CCRN4L
3351	ENSG00000100285	22	29876219	29887379	ENSFM00730001521354	NEFH
3352	ENSG00000112796	6	46126924	46138708	ENSFM00730001521747	ENPP5
3353	ENSG00000167261	16	68021297	68034489	ENSFM00250000001170	DPEP2
3354	ENSG00000145730	5	102089685	102366809	ENSFM00250000001444	PAM
3355	ENSG00000188886	2	96789589	96804175	ENSFM00500000274117	ASTL
3356	ENSG00000115461	2	217536828	217560248	ENSFM00500000271172	IGFBP5
3357	ENSG00000197140	8	38964509	39142430	ENSFM00740001589229	ADAM32
3358	ENSG00000198339	6	27107076	27108418	ENSFM00500000269649	HIST1H4I
3359	ENSG00000180318	12	85673885	85695562	ENSFM00670001235494	ALX1
3360	ENSG00000185742	11	109292846	109299840	ENSFM00600000922195	C11orf87
3361	ENSG00000157890	15	66187417	66546085	ENSFM00250000000419	MEGF11
3362	ENSG00000149823	11	64856796	64879332	ENSFM00250000003232	VPS51
3363	ENSG00000124731	6	41235664	41254457	ENSFM00600000921704	TREM1
3364	ENSG00000136457	17	48541857	48546327	ENSFM00740001589429	CHAD
3365	ENSG00000085382	6	105175968	105307794	ENSFM00740001589493	HACE1
3366	ENSG00000146453	6	160221298	160241736	ENSFM00250000009022	PNLDC1
3367	ENSG00000184825	6	27114861	27115317	ENSFM00670001235241	HIST1H2AH
3368	ENSG00000185917	21	37406839	37451687	ENSFM00250000005596	SETD4
3369	ENSG00000198774	12	86198331	86230348	ENSFM00250000004060	RASSF9
3370	ENSG00000111704	12	7940390	7948655	ENSFM00250000006769	NANOG
3371	ENSG00000044459	9	17134980	17503921	ENSFM00250000003444	CNTLN
3372	ENSG00000187583	1	901877	911245	ENSFM00250000007594	PLEKHN1
3373	ENSG00000104327	8	91070836	91107703	ENSFM00500000270302	CALB1
3374	ENSG00000214513	2	73429386	73439641	ENSFM00500000281907	NOTO
3375	ENSG00000149289	11	109964087	110042566	ENSFM00500000269926	ZC3H12C
3376	ENSG00000118007	3	136055077	136471220	ENSFM00250000000734	STAG1
3377	ENSG00000160932	8	144099399	144105249	ENSFM00670001237090	LY6E
3378	ENSG00000158050	2	96808905	96811179	ENSFM00500000269854	DUSP2
3379	ENSG00000174502	1	205882176	205912588	ENSFM00250000000278	SLC26A9
3380	ENSG00000149516	11	59824060	59838601	ENSFM00560000771831	MS4A3
3381	ENSG00000126010	X	16141679	16171144	ENSFM00500000270205	GRPR
3382	ENSG00000069011	5	134363425	134370503	ENSFM00260000050475	PITX1
3383	ENSG00000105369	19	42381190	42385439	ENSFM00250000009215	CD79A
3384	ENSG00000161638	12	54789045	54813244	ENSFM00500000269717	ITGA5
3385	ENSG00000134107	3	5020801	5027008	ENSFM00250000004522	BHLHE40
3386	ENSG00000133116	13	33590207	33640282	ENSFM00250000000527	KL
3387	ENSG00000118245	2	217724181	217724787	ENSFM00500000376988	TNP1
3388	ENSG00000144712	3	12837971	12913415	ENSFM00250000001833	CAND2
3389	ENSG00000182798	X	16185604	16189587	ENSFM00360000109863	MAGEB17
3390	ENSG00000126432	11	64085560	64089283	ENSFM00670001235781	PRDX5
3391	ENSG00000273154	20	62340216	62370456	ENSFM00250000006326	RP4-583P15.15
3392	ENSG00000108786	17	40701232	40707231	ENSFM00670001235503	HSD17B1
3393	ENSG00000096264	6	41303393	41318625	ENSFM00500000277585	NCR2
3394	ENSG00000100296	22	29901868	29951205	ENSFM00250000005538	THOC5
3395	ENSG00000142676	1	24018269	24022915	ENSFM00250000002087	RPL11
3396	ENSG00000119917	10	91087651	91100728	ENSFM00250000002441	IFIT3
3397	ENSG00000233051	HSCHR6_MHC_COX	31358053	31374512	ENSFM00250000000389	MICA
3398	ENSG00000158352	X	50334647	50557302	ENSFM00740001589243	SHROOM4
3399	ENSG00000135632	2	73441350	73454365	ENSFM00250000007168	SMYD5
3400	ENSG00000235744	HSCHR6_MHC_DBB	32949907	32955340	ENSFM00730001521250	HLA-DOA
3401	ENSG00000112812	6	27215480	27224403	ENSFM00670001235488	PRSS16
3402	ENSG00000075073	10	71163659	71176623	ENSFM00500000269828	TACR2
3403	ENSG00000151320	14	32798479	33300567	ENSFM00250000005209	AKAP6
3404	ENSG00000131437	5	132028320	132073330	ENSFM00730001521221	KIF3A
3405	ENSG00000176732	2	24338241	24346347	ENSFM00500000274732	PFN4
3406	ENSG00000107831	10	103529899	103535854	ENSFM00500000270249	FGF8
3407	ENSG00000109381	4	139949266	140098372	ENSFM00250000000562	ELF2
3408	ENSG00000186792	3	50330262	50336899	ENSFM00250000000550	HYAL3
3409	ENSG00000235676	HSCHR6_MHC_COX	31642141	31658607	ENSFM00250000005259	ABHD16A
3410	ENSG00000047230	X	16606126	16731059	ENSFM00250000001795	CTPS2
3411	ENSG00000166578	12	113633246	113658899	ENSFM00250000008245	IQCD
3412	ENSG00000164007	1	43198764	43205925	ENSFM00730001522073	CLDN19
3413	ENSG00000261579	HG79_PATCH	136216440	136223666	ENSFM00250000005283	MED22
3414	ENSG00000236287	11	10833621	10880343	ENSFM00500000270351	ZBED5
3415	ENSG00000167774	19	8373167	8386263	ENSFM00500000274400	NDUFA7
3416	ENSG00000130368	6	160327974	160329108	ENSFM00500000272915	MAS1
3417	ENSG00000174165	11	66288108	66313709	ENSFM00600000921675	ZDHHC24
3418	ENSG00000114999	2	113239731	113299316	ENSFM00250000007905	TTL
3419	ENSG00000127334	12	68042118	68059186	ENSFM00730001521431	DYRK2
3420	ENSG00000214026	11	1968508	2005752	ENSFM00500000273802	MRPL23
3421	ENSG00000133121	13	33677272	33924767	ENSFM00250000001142	STARD13
3422	ENSG00000091039	12	76745577	76953589	ENSFM00730001521733	OSBPL8
3423	ENSG00000078070	3	182733006	182833863	ENSFM00720001492027	MCCC1
3424	ENSG00000051128	19	19040010	19052070	ENSFM00250000001140	HOMER3
3425	ENSG00000267855	19	8373490	8386280	ENSFM00500000274400	NDUFA7
3426	ENSG00000110328	11	11292423	11643552	ENSFM00500000269893	GALNT18
3427	ENSG00000134108	3	5163905	5222596	ENSFM00410000138507	ARL8B
3428	ENSG00000144043	2	71213068	71222075	ENSFM00500000272253	TEX261
3429	ENSG00000206493	HSCHR6_MHC_QBL	30446762	30451500	ENSFM00730001521062	HLA-E
3430	ENSG00000166529	7	99647390	99662661	ENSFM00740001589091	ZSCAN21
3431	ENSG00000170027	7	75956116	75988348	ENSFM00730001521154	YWHAG
3432	ENSG00000104213	8	17433942	17501580	ENSFM00250000006709	PDGFRL
3433	ENSG00000236250	HSCHR6_MHC_SSTO	31930804	31941075	ENSFM00250000007308	STK19
3434	ENSG00000084090	2	96850597	96874563	ENSFM00460000244963	STARD7
3435	ENSG00000148337	9	130928343	130966662	ENSFM00250000003549	CIZ1
3436	ENSG00000148814	10	134145614	134195010	ENSFM00250000005681	LRRC27
3437	ENSG00000065361	12	56473641	56497289	ENSFM00410000138465	ERBB3
3438	ENSG00000186094	1	48998527	50489585	ENSFM00500000271117	AGBL4
3439	ENSG00000146700	7	76018651	76039012	ENSFM00740001589075	SRCRB4D
3440	ENSG00000124568	6	25783125	25832287	ENSFM00750001632411	SLC17A1
3441	ENSG00000125520	20	62371214	62374858	ENSFM00670001235606	SLC2A4RG
3442	ENSG00000103245	16	779753	791329	ENSFM00250000002049	NARFL
3443	ENSG00000108932	17	66263167	66287408	ENSFM00500000271937	SLC16A6
3444	ENSG00000165246	Y	16634518	16957530	ENSFM00380000124679	NLGN4Y
3445	ENSG00000081791	5	141303373	141321612	ENSFM00250000008341	KIAA0141
3446	ENSG00000008294	17	49039535	49198226	ENSFM00250000000947	SPAG9
3447	ENSG00000233927	19	8386042	8388224	ENSFM00500000284355	RPS28
3448	ENSG00000065308	6	52362200	52441713	ENSFM00250000001775	TRAM2
3449	ENSG00000254598	11	11373489	11374904	ENSFM00250000001591	CSNK2A3
3450	ENSG00000146038	6	24171984	24358280	ENSFM00500000271666	DCDC2
3451	ENSG00000077380	2	172543919	172604930	ENSFM00250000000887	DYNC1I2
3452	ENSG00000107295	9	17579080	17797127	ENSFM00250000000986	SH3GL2
3453	ENSG00000137710	11	110045605	110167447	ENSFM00250000000517	RDX
3454	ENSG00000198805	14	20937113	20945253	ENSFM00250000002129	PNP
3455	ENSG00000134160	15	31293264	31453476	ENSFM00730001521288	TRPM1
3456	ENSG00000106536	7	39017598	39532694	ENSFM00270000056496	POU6F2
3457	ENSG00000111229	12	110872630	110888227	ENSFM00500000270831	ARPC3
3458	ENSG00000259858	HG7_PATCH	141607613	141806547	ENSFM00730001521472	MGAM
3459	ENSG00000197081	6	160390131	160534539	ENSFM00740001589412	IGF2R
3460	ENSG00000138802	4	110354928	110462052	ENSFM00750001632389	SEC24B
3461	ENSG00000262156	HSCHR22_1_CTG2	39353528	39358842	ENSFM00740001589264	APOBEC3A
3462	ENSG00000115604	2	102927989	103015218	ENSFM00500000272503	IL18R1
3463	ENSG00000162373	1	49193195	49242641	ENSFM00250000007557	BEND5
3464	ENSG00000114209	3	167401086	167452727	ENSFM00250000004991	PDCD10
3465	ENSG00000180694	8	91634223	91803860	ENSFM00250000005502	TMEM64
3466	ENSG00000213719	6	31698358	31707540	ENSFM00250000000982	CLIC1
3467	ENSG00000136527	3	185633694	185655924	ENSFM00600000921261	TRA2B
3468	ENSG00000136444	17	48556161	48563336	ENSFM00250000008224	RSAD1
3469	ENSG00000117385	1	43212006	43232755	ENSFM00500000269952	LEPRE1
3470	ENSG00000229328	HSCHR6_MHC_DBB	29012004	29013031	ENSFM00430000230074	OR2W1
3471	ENSG00000166888	12	57489191	57525922	ENSFM00500000269817	STAT6
3472	ENSG00000159228	21	37442239	37445464	ENSFM00250000002301	CBR1
3473	ENSG00000184117	22	29950797	29977326	ENSFM00250000003191	NIPSNAP1
3474	ENSG00000169906	X	16668281	16672793	ENSFM00500000308868	S100G
3475	ENSG00000160410	19	41082757	41097305	ENSFM00250000002046	SHKBP1
3476	ENSG00000168071	11	64107695	64125006	ENSFM00250000000961	CCDC88B
3477	ENSG00000134109	3	5229331	5261642	ENSFM00410000138480	EDEM1
3478	ENSG00000198049	1	206223976	206231639	ENSFM00260000050393	AVPR1B
3479	ENSG00000262970	HG414_PATCH	76571911	76737841	ENSFM00500000273371	ACER3
3480	ENSG00000131126	19	43905648	43922763	ENSFM00500000274056	TEX101
3481	ENSG00000188290	1	934342	935552	ENSFM00500000270678	HES4
3482	ENSG00000169895	X	16737755	16783459	ENSFM00280000058773	SYAP1
3483	ENSG00000109606	4	24519064	24586173	ENSFM00730001521355	DHX15
3484	ENSG00000145623	5	38845960	38945698	ENSFM00570000851150	OSMR
3485	ENSG00000173262	12	7965108	8043744	ENSFM00730001521168	SLC2A14
3486	ENSG00000159231	21	37507210	37518864	ENSFM00250000002301	CBR3
3487	ENSG00000262264	HG414_PATCH	76745442	76753017	ENSFM00480000262744	B3GNT6
3488	ENSG00000076351	17	26721661	26734215	ENSFM00480000262824	SLC46A1
3489	ENSG00000128512	7	111366166	111846466	ENSFM00250000000526	DOCK4
3490	ENSG00000170242	11	11862970	11980870	ENSFM00250000001755	USP47
3491	ENSG00000206492	HSCHR6_MHC_QBL	30498660	30514458	ENSFM00250000004865	GNL1
3492	ENSG00000042304	2	228474806	228498036	ENSFM00500000288028	C2orf83
3493	ENSG00000099282	10	71211229	71267425	ENSFM00500000271602	TSPAN15
3494	ENSG00000225736	HSCHR6_MHC_DBB	29053997	29055102	ENSFM00430000230074	OR2B3
3495	ENSG00000227858	HSCHR6_MHC_APD	29640388	29641038	ENSFM00500000273997	ZFP57
3496	ENSG00000110888	12	30862486	30907885	ENSFM00480000262819	CAPRIN2
3497	ENSG00000204010	10	91137813	91144962	ENSFM00250000002441	IFIT1B
3498	ENSG00000172348	6	46188475	46459709	ENSFM00250000001903	RCAN2
3499	ENSG00000187608	1	948803	949920	ENSFM00500000274879	ISG15
3500	ENSG00000167264	16	68021649	68113223	ENSFM00500000271736	DUS2
3501	ENSG00000229866	HSCHR6_MHC_DBB	29079681	29080616	ENSFM00430000230074	OR2J3
3502	ENSG00000130584	20	62375019	62462597	ENSFM00500000272797	ZBTB46
3503	ENSG00000123119	8	91803778	91971636	ENSFM00250000001762	NECAB1
3504	ENSG00000189375	17	18538319	18565263	ENSFM00500000270385	TBC1D28
3505	ENSG00000205279	5	126984736	126994322	ENSFM00500000289988	CTXN3
3506	ENSG00000185745	10	91152303	91163745	ENSFM00250000002441	IFIT1
3507	ENSG00000196188	1	206317459	206332104	ENSFM00720001492015	CTSE
3508	ENSG00000112149	6	14117872	14137149	ENSFM00250000010713	CD83
3509	ENSG00000117407	1	44398992	44402913	ENSFM00500000275340	ARTN
3510	ENSG00000262875	HG414_PATCH	76777976	76835592	ENSFM00730001522149	CAPN5
3511	ENSG00000149809	11	64879317	64883856	ENSFM00730001522072	TM7SF2
3512	ENSG00000135917	2	228549926	228582728	ENSFM00250000001258	SLC19A3
3513	ENSG00000234218	HSCHR6_MHC_COX	31453328	31466366	ENSFM00250000000389	MICB
3514	ENSG00000113648	5	134669590	134735604	ENSFM00400000131810	H2AFY
3515	ENSG00000232945	HSCHR6_MHC_DBB	29141329	29142369	ENSFM00430000230074	OR2J2
3516	ENSG00000070540	17	66417089	66453654	ENSFM00730001521884	WIPI1
3517	ENSG00000150201	10	43867090	43871783	ENSFM00500000296300	FXYD4
3518	ENSG00000237777	HSCHR6_MHC_DBB	29274457	29275573	ENSFM00730001521167	OR14J1
3519	ENSG00000124466	19	43964939	43969812	ENSFM00250000010848	LYPD3
3520	ENSG00000089199	20	5892076	5906007	ENSFM00250000007047	CHGB
3521	ENSG00000133119	13	34392186	34540695	ENSFM00250000005000	RFC3
3522	ENSG00000142197	21	37529080	37666572	ENSFM00250000001352	DOPEY2
3523	ENSG00000076928	19	42387228	42434302	ENSFM00600000921196	ARHGEF1
3524	ENSG00000174938	16	29882480	29910868	ENSFM00250000001049	SEZ6L2
3525	ENSG00000221910	7	143632259	143633372	ENSFM00730001521928	OR2F2
3526	ENSG00000233312	HSCHR6_MHC_SSTO	31941653	31962310	ENSFM00250000000285	C4B_2
3527	ENSG00000183260	20	62492566	62494341	ENSFM00250000005259	ABHD16B
3528	ENSG00000242022	HSCHR6_MHC_DBB	29341259	29417808	ENSFM00730001522085	OR12D3
3529	ENSG00000213215	7	143657027	143658108	ENSFM00730001521928	OR2F1
3530	ENSG00000188157	1	955503	991496	ENSFM00740001589225	AGRN
3531	ENSG00000221813	7	143701022	143702068	ENSFM00420000140541	OR6B1
3532	ENSG00000227446	HSCHR6_MHC_DBB	29364252	29365320	ENSFM00730001522085	OR12D2
3533	ENSG00000149534	11	59855734	59863444	ENSFM00250000010034	MS4A2
3534	ENSG00000151322	14	33404139	34273382	ENSFM00730001522166	NPAS3
3535	ENSG00000102158	X	77081861	77151090	ENSFM00250000002565	MAGT1
3536	ENSG00000152778	10	91174343	91180758	ENSFM00250000002441	IFIT5
3537	ENSG00000144713	3	12875984	12883087	ENSFM00500000270098	RPL32
3538	ENSG00000086712	X	16804550	16862642	ENSFM00250000001524	TXLNG
3539	ENSG00000129422	8	17501304	17658426	ENSFM00500000270646	MTUS1
3540	ENSG00000133661	10	81697496	81742370	ENSFM00500000271122	SFTPD
3541	ENSG00000132781	1	45794835	45806142	ENSFM00250000006429	MUTYH
3542	ENSG00000105887	7	135611509	135662101	ENSFM00500000273644	MTPN
3543	ENSG00000092529	15	42640301	42704516	ENSFM00250000000112	CAPN3
3544	ENSG00000107833	10	103541082	103543170	ENSFM00500000274611	NPM3
3545	ENSG00000162374	1	50513686	50669458	ENSFM00250000000588	ELAVL4
3546	ENSG00000115009	2	228678558	228682272	ENSFM00670001240607	CCL20
3547	ENSG00000131018	6	152442819	152958936	ENSFM00250000000542	SYNE1
3548	ENSG00000125630	2	113299492	113334635	ENSFM00500000270114	POLR1B
3549	ENSG00000146233	6	46517541	46620523	ENSFM00250000006528	CYP39A1
3550	ENSG00000111537	12	68548548	68553527	ENSFM00500000270941	IFNG
3551	ENSG00000178031	9	18473892	18910948	ENSFM00740001589326	ADAMTSL1
3552	ENSG00000186815	12	113658855	113736390	ENSFM00250000006163	TPCN1
3553	ENSG00000152137	12	119616447	119658936	ENSFM00500000272825	HSPB8
3554	ENSG00000133636	12	86268073	86276770	ENSFM00250000009016	NTS
3555	ENSG00000089195	20	5917881	5931182	ENSFM00250000005119	TRMT6
3556	ENSG00000144366	2	189156396	189460653	ENSFM00250000004323	GULP1
3557	ENSG00000183060	15	100255902	100273766	ENSFM00500000273026	LYSMD4
3558	ENSG00000101150	20	62496596	62522898	ENSFM00500000270547	TPD52L2
3559	ENSG00000064651	5	127419458	127525380	ENSFM00260000050342	SLC12A2
3560	ENSG00000184492	2	114256661	114258728	ENSFM00500000272558	FOXD4L1
3561	ENSG00000135473	12	56710007	56727837	ENSFM00250000003416	PAN2
3562	ENSG00000169604	2	69240310	69476459	ENSFM00250000001590	ANTXR1
3563	ENSG00000115507	2	63277192	63284971	ENSFM00500000269876	OTX1
3564	ENSG00000066468	10	123237848	123357972	ENSFM00250000000093	FGFR2
3565	ENSG00000011007	1	24069645	24088549	ENSFM00250000003294	TCEB3
3566	ENSG00000123977	2	228735770	228789060	ENSFM00500000270971	DAW1
3567	ENSG00000169926	15	31619058	31727868	ENSFM00670001235818	KLF13
3568	ENSG00000143369	1	150480538	150486265	ENSFM00250000006086	ECM1
3569	ENSG00000181072	7	136553416	136705002	ENSFM00250000000372	CHRM2
3570	ENSG00000163486	1	206516200	206637783	ENSFM00250000000639	SRGAP2
3571	ENSG00000110077	11	59939081	59952139	ENSFM00500000273621	MS4A6A
3572	ENSG00000115145	2	152973315	153032506	ENSFM00250000002061	STAM2
3573	ENSG00000243477	3	50333833	50336852	ENSFM00500000275869	NAT6
3574	ENSG00000182050	12	86372516	87232681	ENSFM00730001522169	MGAT4C
3575	ENSG00000196277	3	6811688	7783215	ENSFM00250000000328	GRM7
3576	ENSG00000079308	2	218664512	218867718	ENSFM00250000000591	TNS1
3577	ENSG00000117408	1	44412611	44433694	ENSFM00250000004619	IPO13
3578	ENSG00000227804	HSCHR6_MHC_DBB	30558418	30576630	ENSFM00250000004919	PPP1R10
3579	ENSG00000261667	8	144161874	144164418	ENSFM00570000895145	RP11-520P18.5
3580	ENSG00000169918	15	31775329	32162992	ENSFM00250000001758	OTUD7A
